SOA,Program,Crop,Crop_2,Value,share,150
ALS inhibitor ,Burndown,Corn,Corn (n=119),3,2,
ACCase inhibitor,Burndown,Corn,Corn (n=119),9,6,
Diterpene synthase-inhibitor,Burndown,Corn,Corn (n=119),0,0,
Glutamine synthetase-inhibitor,Burndown,Corn,Corn (n=119),1,1,
HPPD-inhibitor,Burndown,Corn,Corn (n=119),0,0,
EPSPS-inhibitor,Burndown,Corn,Corn (n=119),82,55,
Microtubule inhibitor,Burndown,Corn,Corn (n=119),0,0,
PSI-inhibitor,Burndown,Corn,Corn (n=119),18,12,
PSII-inhibitor,Burndown,Corn,Corn (n=119),8,5,
PPO-inhibitor,Burndown,Corn,Corn (n=119),7,5,
Synthetic auxin,Burndown,Corn,Corn (n=119),22,15,
LCFA inhibitor,Burndown,Corn,Corn (n=119),0,0,
ALS inhibitor ,PRE-emergence,Corn,Corn (n=119),9,7,121
ACCase inhibitor,PRE-emergence,Corn,Corn (n=119),0,0,
Diterpene synthase-inhibitor,PRE-emergence,Corn,Corn (n=119),0,0,
Glutamine synthetase-inhibitor,PRE-emergence,Corn,Corn (n=119),0,0,
HPPD-inhibitor,PRE-emergence,Corn,Corn (n=119),6,5,
EPSPS-inhibitor,PRE-emergence,Corn,Corn (n=119),3,2,
Microtubule inhibitor,PRE-emergence,Corn,Corn (n=119),0,0,
PSI-inhibitor,PRE-emergence,Corn,Corn (n=119),0,0,
PSII-inhibitor,PRE-emergence,Corn,Corn (n=119),67,55,
PPO-inhibitor,PRE-emergence,Corn,Corn (n=119),0,0,
Synthetic auxin,PRE-emergence,Corn,Corn (n=119),0,0,
LCFA inhibitor,PRE-emergence,Corn,Corn (n=119),36,30,
ALS inhibitor ,POST-emergence,Corn,Corn (n=119),21,11,186
ACCase inhibitor,POST-emergence,Corn,Corn (n=119),1,1,
Diterpene synthase-inhibitor,POST-emergence,Corn,Corn (n=119),0,0,
Glutamine synthetase-inhibitor,POST-emergence,Corn,Corn (n=119),0,0,
HPPD-inhibitor,POST-emergence,Corn,Corn (n=119),45,24,
EPSPS-inhibitor,POST-emergence,Corn,Corn (n=119),53,28,
Microtubule inhibitor,POST-emergence,Corn,Corn (n=119),0,0,
PSI-inhibitor,POST-emergence,Corn,Corn (n=119),0,0,
PSII-inhibitor,POST-emergence,Corn,Corn (n=119),64,34,
PPO-inhibitor,POST-emergence,Corn,Corn (n=119),0,0,
Synthetic auxin,POST-emergence,Corn,Corn (n=119),2,1,
LCFA inhibitor,POST-emergence,Corn,Corn (n=119),0,0,
ALS inhibitor ,Harvest aid,Corn,Corn (n=119),0,0,
ACCase inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
Diterpene synthase-inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
Glutamine synthetase-inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
HPPD-inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
EPSPS-inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
Microtubule inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
PSI-inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
PSII-inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
PPO-inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
Synthetic auxin,Harvest aid,Corn,Corn (n=119),0,0,
LCFA inhibitor,Harvest aid,Corn,Corn (n=119),0,0,
ALS inhibitor ,Burndown,Cotton,Cotton (n=23),0,0,157
ACCase inhibitor,Burndown,Cotton,Cotton (n=23),0,0,
Diterpene synthase-inhibitor,Burndown,Cotton,Cotton (n=23),8,5,
Glutamine synthetase-inhibitor,Burndown,Cotton,Cotton (n=23),0,0,
HPPD-inhibitor,Burndown,Cotton,Cotton (n=23),0,0,
EPSPS-inhibitor,Burndown,Cotton,Cotton (n=23),77,49,
Microtubule inhibitor,Burndown,Cotton,Cotton (n=23),0,0,
PSI-inhibitor,Burndown,Cotton,Cotton (n=23),15,10,
PSII-inhibitor,Burndown,Cotton,Cotton (n=23),0,0,
PPO-inhibitor,Burndown,Cotton,Cotton (n=23),26,17,
Synthetic auxin,Burndown,Cotton,Cotton (n=23),31,20,
LCFA inhibitor,Burndown,Cotton,Cotton (n=23),0,0,
ALS inhibitor ,PRE-emergence,Cotton,Cotton (n=23),11,6,186
ACCase inhibitor,PRE-emergence,Cotton,Cotton (n=23),0,0,
Diterpene synthase-inhibitor,PRE-emergence,Cotton,Cotton (n=23),44,24,
Glutamine synthetase-inhibitor,PRE-emergence,Cotton,Cotton (n=23),0,0,
HPPD-inhibitor,PRE-emergence,Cotton,Cotton (n=23),0,0,
EPSPS-inhibitor,PRE-emergence,Cotton,Cotton (n=23),0,0,
Microtubule inhibitor,PRE-emergence,Cotton,Cotton (n=23),67,36,
