SOA,Program,Crop,Crop_2,Value,share,150
Inibidores da ALS ,Dessecante pré plantio,Milho,Milho (n=119),3,2,
Inibidores da ACCase ,Dessecante pré plantio,Milho,Milho (n=119),9,6,
Inibidores da DOXP sintase,Dessecante pré plantio,Milho,Milho (n=119),0,0,
Inibidores da glutamina sintetase,Dessecante pré plantio,Milho,Milho (n=119),1,1,
Inibidores da HPPD,Dessecante pré plantio,Milho,Milho (n=119),0,0,
Inibidores da EPSPS,Dessecante pré plantio,Milho,Milho (n=119),82,55,
Inibidores da formação de microtubulos,Dessecante pré plantio,Milho,Milho (n=119),0,0,
Desvio de elétrons do FSI,Dessecante pré plantio,Milho,Milho (n=119),18,12,
Inibidores do FSII,Dessecante pré plantio,Milho,Milho (n=119),8,5,
Inibidores da PPO,Dessecante pré plantio,Milho,Milho (n=119),7,5,
Mimetizadores da auxina,Dessecante pré plantio,Milho,Milho (n=119),22,15,
Inibidores da AGCML,Dessecante pré plantio,Milho,Milho (n=119),0,0,
Inibidores da ALS ,PRÉ-emergente,Milho,Milho (n=119),9,7,121
Inibidores da ACCase ,PRÉ-emergente,Milho,Milho (n=119),0,0,
Inibidores da DOXP sintase,PRÉ-emergente,Milho,Milho (n=119),0,0,
Inibidores da glutamina sintetase,PRÉ-emergente,Milho,Milho (n=119),0,0,
Inibidores da HPPD,PRÉ-emergente,Milho,Milho (n=119),6,5,
Inibidores da EPSPS,PRÉ-emergente,Milho,Milho (n=119),3,2,
Inibidores da formação de microtubulos,PRÉ-emergente,Milho,Milho (n=119),0,0,
Desvio de elétrons do FSI,PRÉ-emergente,Milho,Milho (n=119),0,0,
Inibidores do FSII,PRÉ-emergente,Milho,Milho (n=119),67,55,
Inibidores da PPO,PRÉ-emergente,Milho,Milho (n=119),0,0,
Mimetizadores da auxina,PRÉ-emergente,Milho,Milho (n=119),0,0,
Inibidores da AGCML,PRÉ-emergente,Milho,Milho (n=119),36,30,
Inibidores da ALS ,PÓS-emergente,Milho,Milho (n=119),21,11,186
Inibidores da ACCase ,PÓS-emergente,Milho,Milho (n=119),1,1,
Inibidores da DOXP sintase,PÓS-emergente,Milho,Milho (n=119),0,0,
Inibidores da glutamina sintetase,PÓS-emergente,Milho,Milho (n=119),0,0,
Inibidores da HPPD,PÓS-emergente,Milho,Milho (n=119),45,24,
Inibidores da EPSPS,PÓS-emergente,Milho,Milho (n=119),53,28,
Inibidores da formação de microtubulos,PÓS-emergente,Milho,Milho (n=119),0,0,
Desvio de elétrons do FSI,PÓS-emergente,Milho,Milho (n=119),0,0,
Inibidores do FSII,PÓS-emergente,Milho,Milho (n=119),64,34,
Inibidores da PPO,PÓS-emergente,Milho,Milho (n=119),0,0,
