Local,Regiao,Perc
Embrapa,Brasil,43
Empresa de agroquimicos,Brasil,54
Empresa de consultoria,Brasil,30
Entidades estaduais de pesquisa e extensao,Brasil,43
Universidade,Brasil,52
Embrapa,Centro,41
Empresa de agroquimicos,Centro,55
Empresa de consultoria,Centro,36
Entidades estaduais de pesquisa e extensao,Centro,48
Universidade,Centro,48
Embrapa,Nordeste,31
Empresa de agroquimicos,Nordeste,56
Empresa de consultoria,Nordeste,25
Entidades estaduais de pesquisa e extensao,Nordeste,38
Universidade,Nordeste,31
Embrapa,Norte,11
Empresa de agroquimicos,Norte,78
Empresa de consultoria,Norte,44
Entidades estaduais de pesquisa e extensao,Norte,22
Universidade,Norte,44
Embrapa,Sudeste,42
Empresa de agroquimicos,Sudeste,65
Empresa de consultoria,Sudeste,35
Entidades estaduais de pesquisa e extensao,Sudeste,36
Universidade,Sudeste,52
Embrapa,Sul,49
Empresa de agroquimicos,Sul,50
Empresa de consultoria,Sul,24
Entidades estaduais de pesquisa e extensao,Sul,47
Universidade,Sul,56
