Tipo,Regiao,Perc
Biologico,Brasil,5
Cultural,Brasil,71
Fisico,Brasil,15
Mecanico,Brasil,45
Nenhum,Brasil,15
Biologico,Centro,2
Cultural,Centro,77
Fisico,Centro,2
Mecanico,Centro,33
Nenhum,Centro,14
Biologico,Nordeste,6
Cultural,Nordeste,63
Fisico,Nordeste,0
Mecanico,Nordeste,50
Nenhum,Nordeste,31
Biologico,Norte,0
Cultural,Norte,100
Fisico,Norte,13
Mecanico,Norte,25
Nenhum,Norte,0
Biologico,Sudeste,3
Cultural,Sudeste,65
Fisico,Sudeste,12
Mecanico,Sudeste,58
Nenhum,Sudeste,15
Biologico,Sul,6
Cultural,Sul,76
Fisico,Sul,24
Mecanico,Sul,41
Nenhum,Sul,14
