,ResponseType,IPAddress,DurationS,Latitude,Longitude,Ocupacao,Estado ,Regiao,Hectares ,Culturas,Ano,Irrigado,SPD,BeneficioSPD,Cobertura,CulturadeCobertura,SLP,PDProblematica,PDRGly,PDRnome,PDRHerb,PRRHerbnome,RespAplic,TreinAplic,ManejoAlternativo,AdocaodeAuxinsT
1,IP Address,187.7.194.116,1193,-21.8986969,-49.58709717,"Agronomo, Consultor, Produtor rural",MT,Centro,2000,"Feijao, Milho, Soja","3 (ex.: safra,  safrinha e cultura de inverno)",Parcialmente,Sim,"Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Milho consorciado com braquiaria,Nao,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), poaia-branca (Richardia brasiliensis)",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica)",Nao tenho certeza,,"Agronomo,Funcionario da fazenda",Sim,"Cultural,Mecanico",Nao tenho certeza
2,IP Address,177.20.171.163,1101,-23.48860168,-48.7592926,"Agronomo, Produtor rural",SP,Sudeste,650,"Algodao, Feijao, Milho, Soja, Sorgo, Trigo, CultInverno",2 (ex.: safra e safrinha),Sim,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Reducao na erosao do solo",Sim,"Milheto,  nabo forrageiro,  aveia,  ",Nao,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Nao tenho certeza,,Funcionario da fazenda,Sim,"Cultural,Mecanico",Sim
3,IP Address,200.236.246.147,427,-22.75990295,-47.1558075,"Agronomo, Pesquisador em empresa",SP,Sudeste,40,"Algodao, Feijao, Milho, Soja, Trigo, CultInverno","3 (ex.: safra,  safrinha e cultura de inverno)",Sim,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Diminuicao  nos custos com manejo do solo, Diminuicao na compactacao do solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Braquiatia sorgo milheto,Nao,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), picao (Bidens sp.), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidor de fotossistema I (ex. Paraquate [Gramoxone]), Inibidor de fotossistema II (ex. atrazine,  linuron)","Agronomo,Tecnico agricola",Sim,"Cultural,Mecanico",Nao tenho certeza
4,IP Address,179.88.65.145,638,-30.03329468,-51.19999695,Tecnico agricola,RS,Sul,1600,"Milho, Soja, Trigo","3 (ex.: safra,  safrinha e cultura de inverno)",Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Diminuicao  nos custos com manejo do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,,Nao,NA,Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Sim,,Funcionario da fazenda,Sim,,Nao tenho certeza
5,IP Address,98.21.129.131,741,,,Agronomo,RS,Sul,500,Arroz,1 (ex.: safra),Sim,Parcialmente,"Diminuicao  nos custos com manejo do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Sim,"arroz vermelho (Oryza sativa L), tiririca (Cyperus sp.)",Nao,,,,,,,
6,IP Address,98.21.129.131,314,,,Agronomo,RS,Sul,600,Arroz,1 (ex.: safra),Sim,Parcialmente,"Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas",Nao,,Sim,"arroz vermelho (Oryza sativa L), tiririca (Cyperus sp.),  Capim-arroz (Echinochloa crus-galli),  Digitaria sanguinalis",Nao tenho certeza,,Nao tenho certeza,,Funcionario da fazenda,Nao,Nenhum,
7,IP Address,177.86.160.132,251,,,Agronomo,RS,Sul,4000,"Cana-de-acucar, Citrus, Feijao, Milho, Soja, Trigo, CultInverno",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Nao,"Azevem (Lolium sp.), buva (Conyza sp.), leiteiro (Euphorbia heterophylla L), picao (Bidens sp.)",Nao,,Nao,,,,,
8,IP Address,138.94.76.218,721,-27.73449707,-54.2602005,Agronomo,RS,Sul,5000,"Milho, Soja, Trigo",2 (ex.: safra e safrinha),Nao,Sim,"Diminuicao  nos custos com manejo do solo, Reducao na erosao do solo",Sim,"Nabo forrageiro,  aveia preta ",Nao,"Azevem (Lolium sp.), capim-amargoso (Digitaria insularis), capim-arroz (Echinochloa sp.), capim-branco (Chloris sp.), capim colchao (Digitaria sanguinalis), capim massambara (Sorghum halepense), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,"Azevem (Lolium sp.), capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), capim-branco (Chloris sp.), buva (Conyza sp.)",Sim,"Inibidores da ACCase (ex. clethodim [Select]), Inibidor de fotossistema I (ex. Paraquate [Gramoxone])",Produtor rural,Nao,Mecanico,Sim
9,IP Address,200.128.184.125,192,-17.97790527,-43.60420227,Professor,MG,Sudeste,0,Cafe,1 (ex.: safra),Nao,Nao,,Nao,,Nao,"capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), picao (Bidens sp.), poaia-branca (Richardia brasiliensis), trapoeraba (Commelina sp.)",Sim,"capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Nao,,"Agronomo,Aplicador especialista",Sim,"Cultural,Mecanico",
10,IP Address,187.39.114.154,332,-31.76669312,-52.33329773,"Agronomo, Pesquisador publico",RS,Sul,5,"Arroz, Milho, Soja, Sorgo, CultInverno","3 (ex.: safra,  safrinha e cultura de inverno)",Sim,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Sim,Azevem ,Sim,"arroz vermelho (Oryza sativa L), Outras (descreva),  Echinichloa",Sim,Azevem (Lolium sp.),Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)",Agronomo,Sim,"Cultural,Fisico,Mecanico",Sim
